,fid,long,lat,iso3,2015
442,12519,55.5,99.5,RUS12519.0,2.6186421513557434
443,12520,55.5,100.5,RUS12520.0,2.3464551816384
444,12521,55.5,101.5,RUS12521.0,4.3981802339355145
445,12522,55.5,102.5,RUS12522.0,8.75220534702142
446,12810,54.5,30.5,RUS12810.0,16.904382407665253
447,12811,54.5,31.5,RUS12811.0,46.16408149401347
448,12812,54.5,32.5,RUS12812.0,47.415417432785034
449,12813,54.5,33.5,RUS12813.0,91.70522292455038
450,12814,54.5,34.5,RUS12814.0,80.828324953715
451,12815,54.5,35.5,RUS12815.0,74.36028718948364
452,12816,54.5,36.5,RUS12816.0,85.34573515256247
453,12817,54.5,37.5,RUS12817.0,95.25760610898337
454,12818,54.5,38.5,RUS12818.0,88.93454670906067
455,12819,54.5,39.5,RUS12819.0,86.55206759770712
456,12820,54.5,40.5,RUS12820.0,67.68745382626852
457,12821,54.5,41.5,RUS12821.0,87.59090304374695
458,12822,54.5,42.5,RUS12822.0,92.06355810165405
459,12823,54.5,43.5,RUS12823.0,82.23441243171692
460,12824,54.5,44.5,RUS12824.0,81.43142859141031
461,12825,54.5,45.5,RUS12825.0,59.26903088887533
462,12826,54.5,46.5,RUS12826.0,39.4786536693573
463,12827,54.5,47.5,RUS12827.0,63.4674608707428
464,12828,54.5,48.5,RUS12828.0,36.882200837135315
465,12829,54.5,49.5,RUS12829.0,60.89597741762797
466,12830,54.5,50.5,RUS12830.0,84.43535367647806
467,12831,54.5,51.5,RUS12831.0,94.31869586308798
468,12832,54.5,52.5,RUS12832.0,99.72886443138123
469,12833,54.5,53.5,RUS12833.0,100.00000596046448
470,12834,54.5,54.5,RUS12834.0,100.00000794728597
471,12835,54.5,55.5,RUS12835.0,97.28933572769165
472,12836,54.5,56.5,RUS12836.0,97.38296071688333
473,12837,54.5,57.5,RUS12837.0,71.55160307884216
474,12838,54.5,58.5,RUS12838.0,93.04458300272623
475,12839,54.5,59.5,RUS12839.0,98.23962847391763
476,12840,54.5,60.5,RUS12840.0,90.15873869260153
477,12841,54.5,61.5,RUS12841.0,84.93776520093283
478,12842,54.5,62.5,RUS12842.0,99.97925559679666
479,12843,54.5,63.5,RUS12843.0,98.53960275650024
480,12844,54.5,64.5,RUS12844.0,94.52513257662454
481,12845,54.5,65.5,RUS12845.0,98.7186094125112
482,12846,54.5,66.5,RUS12846.0,58.861786127090454
483,12847,54.5,67.5,RUS12847.0,48.85465204715729
484,12848,54.5,68.5,RUS12848.0,84.57029859224954
485,12850,54.5,70.5,RUS12850.0,68.38107506434122
486,12851,54.5,71.5,RUS12851.0,95.73773741722107
487,12852,54.5,72.5,RUS12852.0,92.42387215296426
488,12853,54.5,73.5,RUS12853.0,99.41177169481912
