,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5,NCP_cur,pop,PN,country,PNpop_c_norm
453,113.0,59.0,112.0,59.0,112.0,60.0,113.0,60.0,113.0,59.0,91.87092279263248,3110.0,2995310.0,Russia,0.006480795821073737
454,114.0,59.0,113.0,59.0,113.0,60.0,114.0,60.0,114.0,59.0,92.58499824800043,2508.0,2224601.0,Russia,0.0048215436728883685
455,115.0,59.0,114.0,59.0,114.0,60.0,115.0,60.0,115.0,59.0,97.0860018951816,285.0,418330.625,Russia,0.0008988733015486734
456,116.0,59.0,115.0,59.0,115.0,60.0,116.0,60.0,116.0,59.0,89.52390523967523,0.0,794763.0,Russia,0.0016850197064045094
457,117.0,59.0,116.0,59.0,116.0,60.0,117.0,60.0,117.0,59.0,91.58585122298574,0.0,1272337.0,Russia,0.0026975499843193435
458,118.0,59.0,117.0,59.0,117.0,60.0,118.0,60.0,118.0,59.0,87.51142409776233,0.0,1503401.0,Russia,0.0031874411763358965
459,119.0,59.0,118.0,59.0,118.0,60.0,119.0,60.0,119.0,59.0,86.71225440004199,0.0,1962566.5,Russia,0.004160942605065064
460,120.0,59.0,119.0,59.0,119.0,60.0,120.0,60.0,120.0,59.0,92.05904102582308,0.0,2500041.25,Russia,0.005300471679071828
461,121.0,59.0,120.0,59.0,120.0,60.0,121.0,60.0,121.0,59.0,91.00448911179025,0.0,2851984.0,Russia,0.006046644398833814
462,122.0,59.0,121.0,59.0,121.0,60.0,122.0,60.0,122.0,59.0,92.86059818970247,0.0,2428247.25,Russia,0.005148257365117094
463,123.0,59.0,122.0,59.0,122.0,60.0,123.0,60.0,123.0,59.0,93.05855611050504,2.0,422173.0625,Russia,0.0008951797036643624
464,124.0,59.0,123.0,59.0,123.0,60.0,124.0,60.0,124.0,59.0,94.11828787486021,53.0,206565.015625,Russia,0.00044020421721123926
465,125.0,59.0,124.0,59.0,124.0,60.0,125.0,60.0,125.0,59.0,91.56093610498071,197.0,413580.75,Russia,0.0008851164918430403
466,126.0,59.0,125.0,59.0,125.0,60.0,126.0,60.0,126.0,59.0,93.15432397381531,824.0,1214450.0,Russia,0.0026093706955402814
467,127.0,59.0,126.0,59.0,126.0,60.0,127.0,60.0,127.0,59.0,88.6788926810174,458.0,668380.125,Russia,0.001436270516335046
468,128.0,59.0,127.0,59.0,127.0,60.0,128.0,60.0,128.0,59.0,85.56441230399354,641.0,862862.125,Russia,0.001856248007633834
469,129.0,59.0,128.0,59.0,128.0,60.0,129.0,60.0,129.0,59.0,83.56011553482038,921.0,1139180.375,Russia,0.0024538229666024886
470,130.0,59.0,129.0,59.0,129.0,60.0,130.0,60.0,130.0,59.0,83.63111812676553,1498.0,1674430.0,Russia,0.003612794914926197
471,131.0,59.0,130.0,59.0,130.0,60.0,131.0,60.0,131.0,59.0,83.23664591657041,1616.0,1744108.375,Russia,0.0037654758074930853
472,132.0,59.0,131.0,59.0,131.0,60.0,132.0,60.0,132.0,59.0,84.09433220477936,1611.0,2124843.0,Russia,0.0045724740497589626
473,133.0,59.0,132.0,59.0,132.0,60.0,133.0,60.0,133.0,59.0,90.05334468216385,101.0,1351681.125,Russia,0.0028700185693588333
474,134.0,59.0,133.0,59.0,133.0,60.0,134.0,60.0,134.0,59.0,88.10945118485563,0.0,762600.8125,Russia,0.0016168309259270881
475,135.0,59.0,134.0,59.0,134.0,60.0,135.0,60.0,135.0,59.0,92.62992037901527,0.0,566111.75,Russia,0.0012002439152013155
476,136.0,59.0,135.0,59.0,135.0,60.0,136.0,60.0,136.0,59.0,93.18326608621787,0.0,588330.6875,Russia,0.0012473514775096642
478,138.0,59.0,137.0,59.0,137.0,60.0,138.0,60.0,138.0,59.0,87.00659733162055,0.0,370159.125,Russia,0.0007847942344201355
479,139.0,59.0,138.0,59.0,138.0,60.0,139.0,60.0,139.0,59.0,90.52056377585768,0.0,1819774.625,Russia,0.003858201884511328
480,140.0,59.0,139.0,59.0,139.0,60.0,140.0,60.0,140.0,59.0,84.01797589189613,0.0,3309613.25,Russia,0.007016888741458113
481,141.0,59.0,140.0,59.0,140.0,60.0,141.0,60.0,141.0,59.0,83.21239539663635,0.0,3049704.75,Russia,0.006465842776356521
